time,flux,flux_err
54953.5385919,19.98066944031152,67.71488223634712
54953.5590265,49.75233289727932,67.72437292488918
54953.579461,-17.8008659069695,67.84623843989607
54953.599895700005,-41.82530389673644,67.79338415855068
54953.6203303,-40.93474283328735,67.81573724124232
54953.6407648,-14.15577876373586,67.9013346569418
54953.6611994,-31.796136572004308,67.87944497666399
54953.6816341,-80.58024319690382,67.93333634743381
54953.7020686,54.76950539984316,68.01028289438476
54953.72250319999,101.4514737005534,68.10927134542321
54953.74293790001,20.95407339308686,68.08722892356765
54953.7633724,17.635180127761885,68.17967951731094
54953.78380700001,-79.36348825565709,68.28767972143581
54953.8042416,10.19485310393975,68.28852368337381
54953.8246762,89.71884945818687,68.31709412493139
54953.8451108,2.9926993876383534,68.35477469550682
54953.8655454,-89.88453523728346,68.40917969219228
54953.8859801,-88.26392120908633,68.4472796548964
54953.9064146,-60.43388797749572,68.5520702148166
54953.9268492,-22.89570361857507,68.53979496964719
54953.9472839,-45.70856434771287,68.57544071174634
54953.9677184,-5.66438257765256,68.55590221622957
54953.988153,31.95664467070536,68.60650006436892
54954.0085875,-65.36821759051125,68.63267997079292
54954.0290222,-13.751919676785462,68.62311575918632
54954.04945680001,96.2737930991775,68.59582938241785
54954.0698914,-54.76950539984316,68.6565345808589
54954.090326,50.88624494886673,68.72514091989738
54954.11076059999,-0.4867019763876712,68.72423223695188
54954.1311952,129.19866404237368,68.678478626783
54954.15162969999,3.236050375665656,68.72841942725408
54954.17206440001,-53.55792813899196,68.73560915453695
54954.192499,112.61455307676194,68.7844196673328
54954.212933500006,79.76734734249646,68.81340432333845
54954.2333682,-65.6944114683089,68.83313128642914
54954.2538028,101.36863081089408,68.9253742551803
54954.2742373,-89.80169234762414,68.87522116980456
54954.2946719,-2.83219128882628,68.92959613594253
54954.3151066,-7.445504704550743,69.00122416937991
54954.3355412,-6.798294629350998,68.86671320504063
54954.3559757,-29.93217155566885,68.94275572895863
54954.3764104,-39.64032268288786,68.90214200232259
54954.396845,137.8557460076646,68.96085275819603
54954.4172795,11.566938463269947,68.8720757288393
54954.4377141,200.47461519889788,68.89915448061568
54954.4581488,66.25877865396035,68.86555754673044
54954.478583300006,102.41969997304425,68.88815294487418
54954.4990179,144.00165288130927,68.78310608976425
54954.5194525,-80.01069833085683,68.89610793334992
54954.5398872,-79.68968213334371,68.77875062484249
54954.5603218,-39.23646359615951,68.78982620141657
54954.580756300005,59.78667790240699,68.8121404515037
54954.601191,-1.6206140281971315,68.66360107934345
54954.6216256,12.944201503106711,68.65241677147674
54954.64206009999,2.184981213737558,68.62389603565293
54954.6624947,0.890561063338069,68.66545727783898
54954.682929400005,9.547643028628984,68.7382756600466
54954.70336390001,-26.69612117989217,68.72076111987683
54954.7237985,-18.525741191210976,68.75539980309902
54954.7442332,28.88110239362973,68.78270585505378
54954.7646677,76.69180506542084,68.77348699474328
54954.7851023,47.24633548613966,68.65522618097096
54954.8055369,105.1690483722112,68.70084672474839
54954.8259715,-73.53859757930348,68.77032705627236
54954.8464061,-147.56389713499462,68.75439740413462
54954.86684069999,10.759220289369154,68.76624807949472
54954.8872753,17.635180127761885,68.73051328128923
54954.9077099,-60.19053698924637,68.84623081835025
54954.92814450001,30.418873532278567,68.49130029536805
54954.948579,-27.99054133018064,68.58966690696627
54954.9690137,21.922299665799727,68.46897154777525
54954.9894483,26.856629278704247,68.51239986158612
54955.009882800005,-155.33041803683645,68.35319446738731
54955.03031749999,-106.30296042368758,68.45625205761027
54955.0507521,25.484543919152003,68.48140988988358
54955.0711867,-73.05707328320032,68.63259143245463
54955.0916212,-157.19438305317192,68.58958302854055
54955.112055900005,-52.66736707565389,68.70688597140165
54955.1324905,77.8257171172303,68.78920902188892
54955.1529251,112.61455307676194,68.83833071328887
54955.17335980001,-40.77423473469732,68.8087775479532
54955.1937944,-122.88707138952137,68.89887333255903
54955.2142289,-73.6991056778935,68.8857039019498
54955.2346635,-114.4785180930974,68.87925044084844
54955.2550982,123.61712435438044,68.882553801072
54955.275532700005,-73.94245666603183,68.82826219559173
54955.2959673,51.85964890186412,68.85713397816029
54955.316402,-100.07421066060562,68.80872835998748
54955.3368365,38.42874542225872,68.69926649662887
54955.3572711,7.44032702404418,68.71926994786365
54955.37770569999,28.88110239362973,68.62232564512658
54955.39814040001,-8.253222878229494,68.71594173477321
54955.41857490001,-67.14933971718739,68.74092715028249
54955.439009500005,86.07893999545979,68.80904419850417
54955.4594442,-83.16908349748076,68.65711758769457
54955.4798787,71.84031834195359,68.78065186915926
54955.5003133,-134.9458895097966,68.61743687910291
54955.5207478,10.842063179028472,68.81136017503708
54955.541182500005,-33.81543200653425,68.75255570314478
54955.5616171,105.81625844729992,68.8258825335874
54955.5820517,-9.464800139080689,68.82285048382732
54955.602486300006,-2.184981213626536,68.66168015984039
54955.6229209,168.67847862678252,68.76444106896489
54955.6433555,-16.18025187888339,68.64895549199483
54955.66379,-62.13216721473458,68.52965758879805
54955.6842247,1.0510691621501422,68.59218015313012
54955.704659300005,-98.61928241150508,68.50447956357041
54955.72509380001,-61.4072919304931,68.72567888091186
54955.7455285,-2.992699387527331,68.5942838447584
54955.765963100006,24.19012376897456,68.62282943344908
54955.78639759999,31.30943459561664,68.75984380635907
54955.8068322,47.00298449789031,68.70364163673692
54955.8272669,-47.57252936404832,68.83731847673134
54955.8477015,3.4794013639150023,68.97700453283154
54955.86813609999,-39.4021493752561,68.9282877360546
54955.88857080001,16.744619064423816,68.97577483368877
54955.9090054,73.29524659116515,69.06149547818656
