time,flux
54953.5385919,10.275144381692284
54953.5590265,8.542854648038931
54953.579461,6.676226550189063
54953.599895700005,10.043396007932488
54953.6203303,5.159330683187315
54953.6407648,-1.3146427086672041
54953.6611994,1.0081830598080255
54953.6816341,-1.6153011215732667
54953.7020686,5.551592373982094
54953.72250319999,6.000686527094247
54953.74293790001,4.325939142364611
54953.7633724,-9.095380471190149
54953.78380700001,0.808314431329396
54953.8042416,-3.616136926817248
54953.8246762,-3.5279235584656976
54953.8451108,3.6466894378940813
54953.8655454,2.3547257458474444
54953.8859801,-0.8745669193439709
54953.9064146,1.2917726294902963
54953.9268492,-7.9088101189260325
54953.9472839,0.2782320917202923
54953.9677184,-5.589029884159713
54953.988153,-4.520735647012244
54954.0085875,-9.480536798997633
54954.0290222,-5.157743412762849
54954.04945680001,-0.3503051155269805
54954.0698914,-17.37275337689303
54954.090326,-5.238384544365491
54954.11076059999,-10.792607565325138
54954.1311952,-8.259253217263439
54954.15162969999,-6.5457234538163735
54954.17206440001,-1.7720895339188427
54954.192499,-10.592702521019046
54954.212933500006,-13.584897386823304
54954.2333682,-0.41072633149035553
54954.2538028,-17.278018567692882
54954.2742373,-10.478736705601667
54954.2946719,-13.077077470085275
54954.3151066,-17.186571315434758
54954.3355412,-11.551372650209506
54954.3559757,-12.99014314293705
54954.3764104,-5.470305379372089
54954.396845,-8.39688958916966
54954.4172795,-5.001326723278735
54954.4377141,-2.2143517177079666
54954.4581488,-13.311831918290705
54954.478583300006,-3.4678793837719524
54954.4990179,-1.4366595387569179
54954.5194525,-12.625980384613296
54954.5398872,5.405318239836833
54954.5603218,5.953557989880736
54954.580756300005,-0.9063268281392318
54954.601191,-3.9679674668362352
54954.6216256,-3.207392848241775
54954.64206009999,-6.3784905352525865
54954.6624947,-3.2709542201826505
54954.682929400005,-5.414051970846056
54954.70336390001,4.351942763076483
54954.7237985,-9.270065841989053
54954.7442332,1.4940480111484737
54954.7646677,-2.2595557471261056
54954.7851023,1.431784122608685
54954.8055369,0.31930715846115953
54954.8259715,-1.1197975513210272
54954.8464061,15.427979546355882
54954.86684069999,6.90073544739699
54954.8872753,4.516843788882838
54954.9077099,1.4115517725108915
54954.92814450001,11.34893096248724
54954.948579,3.561397354519102
54954.9690137,-9.442748354750965
54954.9894483,15.249434607891505
54955.009882800005,9.995611564358846
54955.03031749999,4.098423166812774
54955.0507521,10.49630042851712
54955.0711867,2.4187888252257217
54955.0916212,12.380487958899312
54955.112055900005,8.263369900284221
54955.1324905,12.609250959564754
54955.1529251,14.70472160706585
54955.17335980001,11.486384205569665
54955.1937944,12.622896141428638
54955.2142289,17.349012157928644
54955.2346635,1.188264073038571
54955.2550982,8.23075133556507
54955.275532700005,12.49030127280734
54955.2959673,7.673407486676002
54955.316402,1.3274958938535262
54955.3368365,4.032716772652435
54955.3572711,9.30540155772615
54955.37770569999,10.600623520502428
54955.39814040001,4.083535190896207
54955.41857490001,0.35968684406685547
54955.439009500005,5.065209065622012
54955.4594442,-6.563668589367561
54955.4798787,2.9398843438296485
54955.5003133,-2.559472813441989
54955.5207478,4.873294087998298
54955.541182500005,9.828385427808257
54955.5616171,-0.08325607515004885
54955.5820517,1.1120898518127413
54955.602486300006,-3.73217727679267
54955.6229209,-1.13016329509268
54955.6433555,-0.5512285628623295
54955.66379,-0.6411472050501137
54955.6842247,-0.6676177777993582
54955.704659300005,-5.206294995239781
54955.72509380001,-6.803251834782972
54955.7455285,-4.031140266606279
54955.765963100006,-0.282043238704742
54955.78639759999,-5.306317123596364
54955.8068322,-9.287462420034062
54955.8272669,-6.691522287977708
54955.8477015,1.6612025134068906
54955.86813609999,-8.010341199804733
54955.88857080001,-12.72394289406737
54955.9090054,0.06752528422648751
54955.92944,-5.5726045187303095
54955.9498745,-8.86758137483831
54955.9703092,-6.7280841843642945
54955.99074380001,-8.470261155031798
54956.0111783,-7.434375606859332
54956.031613,-13.93891241483993
54956.0520476,-13.462761573647722
54956.072482200005,-17.67266490146205
54956.09291669999,-15.531970406003072
54956.1133514,-18.81315307677158
54956.133786,-14.589472607023863
54956.15422050001,-9.224780653964935
54956.17465519999,-4.678945103603449
54956.1950898,-9.747622808366975
54956.2155243,-5.072438301246934
54956.2359589,-10.732166569863132
54956.2563936,-10.77053470406262
54956.2768281,-8.681230437724128
54956.3176974,-16.349683160379538
54956.3381319,-6.092936473620096
54956.3585665,-9.729343364055545
54956.3790011,-1.038091568021228
54956.399435800005,-4.180914762359784
54956.41987030001,-11.264057252389737
54956.4403049,-10.111246466307446
54956.4607396,0.7066941735687355
54956.4811742,-3.4121705715642023
54956.501608800005,-9.449411095196663
54956.52204330001,2.729888789486303
54956.542478,-3.1484770459203992
54956.56291259999,5.672758223854198
54956.5833472,9.37083685131034
54956.60378180001,3.600139381135131
54956.62421640001,7.220187397085838
54956.644651,4.201238205599038
54956.6650855,-3.62976943458077
54956.6855202,12.689619160609515
54956.7059548,3.250777312745982
54956.7263893,4.407834843547018
54956.746824,5.3214531017401345
54956.7672586,5.407969615621152
54956.7876931,-3.006613639827254
54956.8081277,7.897413342935424
54956.828562400005,2.08935468526425
54956.8489969,3.7219345470888037
54956.8694315,9.620976901703491
54956.88986619999,14.523121882962688
54956.9103008,0.9360752208664707
54956.9307353,6.446490650262878
54956.9511699,6.486662280798874
54956.9716046,11.210392993432432
54956.992039100005,9.392283354337795
54957.0124738,17.8158400344619
54957.032908500005,6.58183275126296
54957.05334299999,6.331216508973081
54957.0737776,6.672014015713048
54957.0942122,6.152353402818369
