time,flux,flux_err
54953.5390064,-18.834755149488025,nan
54953.559441,-19.866436827343957,nan
54953.5798755,-21.91644145927412,nan
54953.6003102,-20.06062977770317,nan
54953.62074480001,-15.849240602850493,nan
54953.6411793,-14.192714796696619,nan
54953.6616139,-11.8905963908952,nan
54953.68204859999,-9.419688096526835,nan
54953.7024831,-8.964506350258269,nan
54953.7229176,-5.498471038580874,nan
54953.7433523,-4.630498684273049,nan
54953.7637868,-3.875843688067554,nan
54953.7842214,-2.767994896464619,nan
54953.80465599999,-3.588311662192978,nan
54953.8250906,-3.1896253770679244,nan
54953.8455252,-2.7931823101656623,nan
54953.86595980001,-2.9896309874895954,nan
54953.88639450001,-1.7163027923706444,nan
54953.906829,-2.351060116633448,nan
54953.9272636,-2.484226683123506,nan
54953.9476982,-1.6656673643235869,nan
54953.9681327,-0.9037545944802003,nan
54953.9885673,-1.0127149839645535,nan
54954.0090018,-0.11507941696935453,nan
54954.0294365,0.8981435133111929,nan
54954.0498711,3.06276983034459,nan
54954.07030569999,2.448920641410404,nan
54954.0907403,4.959877103194924,nan
54954.11117490001,6.458912237474901,nan
54954.1316095,7.0085662933851784,nan
54954.1520439,7.436481736336018,nan
54954.1724786,8.74121474167044,nan
54954.1929132,5.4817844624320795,nan
54954.2133477,7.445232741484056,nan
54954.2337824,9.860418946497399,nan
54954.254217,10.06774935947108,nan
54954.2746515,10.86402245011547,nan
54954.29508609999,13.005971390660065,nan
54954.31552080001,16.998890446877994,nan
54954.33595540001,18.64064086979385,nan
54954.35638990001,21.937967147546512,nan
54954.3768245,22.941883981054012,nan
54954.3972591,17.977229083910856,nan
54954.4176936,16.221233753734097,nan
54954.4381282,12.043146431718487,nan
54954.45856290001,6.831512977741384,nan
54954.4789974,0.941243363314923,nan
54954.499432,-6.739436004848778,nan
54954.5198666,-11.528143000340574,nan
54954.5403013,-17.12486528865178,nan
54954.5607359,-21.81989274873729,nan
54954.58117030001,-22.69721178001137,nan
54954.601605,-22.127207414787527,nan
54954.622039600006,-22.38259908776716,nan
54954.6424741,-18.887242163430585,nan
54954.6629087,-16.487308874527987,nan
54954.6833434,-14.287496563740477,nan
54954.7037779,-11.781379429332757,nan
54954.7242125,-7.931508230728168,nan
54954.7446472,-7.589118742082814,nan
54954.76508169999,-4.023758032920323,nan
54954.78551619999,-4.640909504885785,nan
54954.8059508,-1.5582486358695575,nan
54954.8263854,-1.9724325238480547,nan
54954.84682000001,-1.658845968406183,nan
54954.8672546,-0.7440549066711912,nan
54954.8876892,-2.6937034383803122,nan
54954.90812380001,-2.9955238659021397,nan
54954.9285584,-1.863143622528244,nan
54954.94899290001,-2.7847826935158615,nan
54954.9694276,-2.923939300651367,nan
54954.9898621,-2.874163108259869,nan
54955.0102966,-2.3781282717993557,nan
54955.03073130001,-1.1253277785859572,nan
54955.0511659,-1.3167428486768962,nan
54955.0716005,3.9085895620829847,nan
54955.092035,3.351854105376729,nan
54955.11246970001,5.629107938261155,nan
54955.1329043,6.587697305861086,nan
54955.1533388,5.325079625403681,nan
54955.1737735,9.17481571255605,nan
54955.194208,5.1724799360706974,nan
54955.2146425,8.62808329383885,nan
54955.23507710001,8.97005478502555,nan
54955.2555118,8.976507569882209,nan
54955.2759463,10.138126269561884,nan
54955.2963809,11.589190020603978,nan
54955.3168156,12.497652836811199,nan
54955.33725009999,13.086586674265344,nan
54955.3576847,20.26794305207618,nan
54955.37811919999,20.278583502740027,nan
54955.39855390001,20.80234029889896,nan
54955.41898840001,21.134428168268062,nan
54955.439423,17.15448018329408,nan
54955.4598577,12.402620633891855,nan
54955.4802922,8.506465607255876,nan
54955.5007268,-0.6741974850687189,nan
54955.52116130001,-6.137353126462175,nan
54955.541596,-11.96371699255446,nan
54955.5620306,-16.498261897692288,nan
54955.5824651,-18.665306416993186,nan
54955.6028997,-22.30739689631686,nan
54955.62333430001,-22.90260330502985,nan
